IPA	Gloss	Pitch	CEPOM Orthography	Grammatical Cat	Morphological Cat	Notes
kuʔŋga	type of ritual dance			Proper Noun	None	This dance is apparently performed at memorial (funeral) ceremonies by friends/relatives of deceased (?).  Dance has mystic powers?  Some people think that you should not touch people dancing the kuʔŋga.  Superstition also says something like if a kuʔŋga dancer plants a banana tree, the tree will grow very quickly so that the dancer may pick a banana while still dancing... need clarification on all this!	
koŋga	mountain			Noun	None		
ŋaʔŋaʔ	mosquito			Noun	None	Only refers to a specific type/species of mosquito (apparently a kind found in the village, rather than in the city).  Also: informant first provided /moskito/, had to be reminded of the existence of this word	
nzilə	fat			Noun	None		
mɔnzə	road			Noun	None		
mbabə	dust		mbabə	Noun	None		
nə kagə	to be small, narrow	3,5,5	Nə̀ kɑgə	Verb	None	/g/ manifests as /ɣ/	
nə ʒumɑ̃	to be dry; to become thin or skinny, to lose weight	3,5,5	nə̀ jumə	Verb	None	Seems to have a negative or sickly connotation, as in getting thin from illness.  	
nə lɛlə	to be heavy			Verb	None		
nə kamɑ	to be short			Verb	None		
ndʒu	husband			Noun	None		
tɔ	father		tɑ	Noun	None		
njɔm	animal			Noun	None		
fɛn	forest			Noun	None		
ntʃwɛn	fire wood, wood for burning		ncwɛn	Noun	None		
ndɑmtʃɯ	fruit			Noun	None	Plural.  Something like “tree potatoes”?  Apparently /ndɑm/ is something like sweet potatoes.	
zwitʃɯ	seed			Noun	None	Probably “tree seed”; /zwit/ seems to be separate morpheme, “something you have to plant”	
ndup	rope			Adjectivalization	None	Loan word? /r/ to /nd/?	
ŋgup	skin			Noun	None		
mbɑpfɛn	wild game, wild animal meat			Noun	None	Literally “forest meat,” seems to cover the meat of any non-domesticated animal-- example given was monkey meat.	
vɔk	bone		vogə	Noun	None	Why does CEPOM have a schwa at the end?	
ndo	horn			Noun	None		
swa	tail			Noun	None	Seems to refer to a wide, flat tail: apparently birds and fish have /swa/, while dogs do not	
nkwɵn	tail			Noun	None	Seems to refer to a long, narrow tail: dogs have /nkʰwɵn/ while birds and fish do not	
nfə	feather			Noun	None		
ntsəlak	nose		nkɔ̀ntsəlɑg	Noun	None	Literally "water eye"?	
nʃu	mouth		ncù	Noun	None		
to	neck		tɔ	Noun	None		
mvɛn	back (body part)		mvɛ̀n	Noun	None	It seems to be necessary to include a possessor	
ʙɵn	breast		bʉn	Noun	None		
ntʃɯ	heart		ntʉ	Noun	None	Apparently homonymous with plural of “tree”	
mʙi	liver		mbì	Noun	None	It seems to be necessary to include a possessor	
nə nu	to drink			Noun	None		
nə tʃɔgə	to bite			Verb	None		
nə sɔŋə	to suck, to pull			Verb	None	Covers sucking through a straw; unsure about other semantic domains	
nə filə	to snort, to inhale through nose			Verb	None	Not sure about the semantic realm of this verb-- definitely covers the act of inhaling a powder nasally, e.g. cocaine	
nə tɔknsi	to spit			Adjectivalization	None	Literally “to throw spit,” apparently.  In rapid speech sounds more like /tɑɣnsi/. Strange tone pattern for a verb; seems like the last syllable of most verbs is high.  Probably because this is a sort of compound, or maybe /ntsi/ is the object of the verb.	
nə wiʔi	to vomit		nə̀ ywi’i	Verb	None		
nə fjakdə	to blow			Verb	None		
nə zwiagə	to breathe			Verb	None		
nə zwi	to laugh		nə̀ zwǐ	Verb	None	Not to be confused with “to kill”: /nə zwi/ with tones 3,5	
nə zwi	to kill			Verb	None	Not to be confused with "to laugh", /nə zwi/ with tones 3,35	
nə ʒuʔu	to hear		nə ju’u nù	Verb	None		
nə lɛnɑ	to know		nə̀ lɛ̀nə	Verb	None		
nə kwadə	to think			Verb	None		
nə lamdə	to smell			Verb	None		
nə ʙɔgə	to fear, to be afraid			Verb	None	It seems that the underlying form of this might actually begin with /ʙ/, since I've never heard it surface as /b/ and it's not intervocalic in isolation.  More data needed.	
nə jɑgə	to live, to be alive			Verb	None		
nə kʰfɯ	to die		nə̀ kwʉ	Verb	None	Same vowel as “tree”	
nə zwəzwəʔ	to fight			Verb	None		
nə tɔʔjɔŋ	to hunt			Verb	None		
nə kubə	to cut			Verb	None		
nə bɯʔɯ	to break			Verb	None		
nə subə	to stab			Verb	None		
nə kumdə	to scratch (with fingernails)			Verb	None	Not sure if the semantic realm of this word covers scratching with things other than fingernails.	
nə tswəʔə	to dig			Verb	None		
nə lantsə	to swim			Verb	None	Strange tone pattern; most verbs end high	
nə fulə	to fly			Verb	None		
nə zinə	to walk			Verb	None		
nə sɯʔɯ	to come			Verb	None		
nə nɔ	to lie down, to be lying down			Verb	None	Not sure if this covers the state of lying down, the act of lying down, or both	
nə tswəsi	to sit down, to be sitting down			Verb	None	Not sure if this covers the state of sitting, the act of sitting, or both	
nə tintʃu	to stand, to stand up			Verb	None	Covers the state of standing and the act of standing	
nə kaŋə	to turn			Verb	None		
nə vɯsi	to fall			Verb	None	Seems to apply to non-humans-- examples for this verb include paper, trees, birds, possibly dogs	
nə tamsi	to fall (human)			Adjectivalization	None	Seems to apply to humans, maybe exclusively?	
nə fɔ	to give		fɑ	Verb	None		
nə ʃubə	to hold			Verb	None		
nə nji	to squeeze			Verb	None		
nə biʔdə	to rub			Verb	None		
nə sɔgə	to wash		nə̀ sògə	Verb	None		
nə tʃwittə	to wipe			Verb	None		
nə vwaʔa	to throw			Verb	None		
nə kfulə	to tie			Verb	None		
nə tamɑ̃	to sew			Verb	None		
nə ʃaŋdə	to count			Verb	None		
nə tʃubə	to say			Verb	None		
nə jubə	to sing			Verb	None		
nə ʙuʔu	to play (music)			Verb	None		
nə ki	to flow, to spill, to trickle			Verb	None	Seems to cover the movement of any liquid-- examples include liquid flowing off a plate, a spilled bucket of milk, water leaking out of a bottle	
nə mulə	to swell		nə̀ mulə	Verb	None		
njam	sun		nyàm	Noun	None		
ŋwɯ	month			Noun	None		
nza	stars			Noun	None		
mɔŋwɯ	moon		mɑŋwʉ	Noun	None	Literally “mother of the month”	
mbaŋ	rain		mbàŋ	Noun	None		
ŋgwa	salt			Noun	None		
lɔŋ	stone, rock		lòŋ	Noun	None		
sansan	sand			Noun	None	Loanword from English “sand”; original Medumba word unknown	
kamɔnjɔm	sky			Noun	None		
fjak	wind			Noun	None	Not sure what differentiates /fjak/ and /fɯtmbaŋ/.  /fjak/ may be a wind that’s distinctly cold.	
fɯtmbaŋ	storm, tornado, wind		fə̀dmbàŋ	Noun	None	Not sure what differentiates /fjak/ and /fɯtmbaŋ/.  /fɯtmbaŋ/ may be a strong wind, storm, or tornado.	
nzəmʙɔgə	smoke		nzə̂mbwogə	Noun	None		
nə tunə	to burn, to roast, to put in fire, to spit-roast		nə tònə	Verb	None		
məba	yellow, red			Adjective	None		
nɔnɔfi	green			Adjectivalization	None	Apparently derived from “grass”	
fɔktap	white			Adjective	None		
nəsɛn	black			Adjective	None		
ŋguʔnʒɯ	year		ngù’njʉ	Noun	None		
nə dʒumdə	to be warm			Verb	None		
nə fi	to be cold, cool, wet			Verb	None		
nə dʒunə	to be full			Verb	None	Not sure what the semantic range of this verb is-- applies at least to a bowl full of liquid	
zənswə	new thing, new one			Noun	None		
zəɲwɛn	old thing, old one			Noun	None		
ʙo	good			Adjective	None		
kəʙo	bad, evil			Adjective	None	Literally "not good"?	
nə ʙi	to be rotten			Verb	None		
ŋɯ	dirty			Adjective	None		
nə tsinə	to be straight			Verb	None		
nə ʙɔŋdə	to be round			Verb	None		
nə ʃakə	to be sharp			Verb	None		
nə tʃwɛnɑ̃	to be dull, to be not sharp			Verb	None		
nə butə	to be smooth			Verb	None	Not sure what the semantic range of this verb is-- it applies to hair, cloth, smooth wood, maybe not skin	
nə jwɛlə	to soak			Verb	None		
nə jagə	to dry, to make dry, to cause to become dry			Verb	None		
akak	thin person, skinny person			Noun	None	Apparently has a non-sickly connotation-- /akak/ is a person who is normally thin, whereas a person who has become thin from illness would use /nə ʒumɑ/	
nə nɯnə	to be true		nə nʉnə	Verb	None		
mbaŋbə	close, near, not far from speaker			Adjective	None		
nə ɣuptə	to approach, to become closer			Verb	None	Interestingly, in this word /ɣ/ does not surface as /g/ even in slow speech.	
nə sagə	to be far, distant			Verb	None	Polysemy with /nə sagə/ "to be long"?	
ʙuzwim	right hand			Noun	None	Seems to break down into "hand right	
ʙukwip	left hand			Noun	None		
bu	and, with			Conjunction	None		
mbuzə	if			Conjunction	None	Related to /zə/ "that"?	
lɛn	name		lɛn	Noun	None		
ntsə	water			Noun	None		
mbɑp	meat, flesh		mbɑb	Noun	None		
ŋkwaʔŋkwaʔ	examination			Noun	None		
kwitʃɯ	type of parasitic plant			Noun	None	Some type of parasite that grows on trees and looks like a tree’s bark... maybe a fungus or lichen?	
tɔtʃuʔ	round person, rotund person			Noun	None	Speaker posits tɔ to be the same morpheme as “father”, and tʃuʔ to be “something round under the skin,” maybe a lump or tumor?	
nkwadə	thought, idea		nkwàtə̀	Noun	None		
tiaŋdə	happiness		tsiàŋtə̀	Noun	None		
ŋgoni	love		nkɔ̀nì	Noun	None	Refers to love in general, not specifically romantic love or family love	
tʃu	head		tu	Noun	None		
njaŋtʃu	hair (on head)		nyǎŋtu	Noun	None		
nsitʃu	skull			Noun	None	Speaker hesitated to produce this word without a possessor.  Differs from CEPOM dictionary entry for skull.	
ɣəʔ	cheek		ghə’	Noun	None		
sə	face		sə	Noun	None		
ŋkaŋlak	eyelid			Noun	None	In the CEPOM dictionary, this word is translated as “eyebrow”, not “eyelid”.  Not sure which is correct.	
ŋkaŋmjak	eyelids		nkaŋmiɑg	Noun	None		
tɔŋ	ear		tòŋ	Noun	None		
lak	eye		lɑg	Noun	None		
njamto	back of neck		njàmtu	Noun	None		
njaŋnʃu	moustache, beard, facial hair		nyǎŋncù	Noun	None	CEPOM dictionary lists this word as meaning “beard” but not “moustache”.  Consultant says it refers to all facial hair.  Meaning shift or confusion?	
kəkak	armpit, underarm		kə̀kag	Noun	None		
tamʙə	thigh		tàmmbwə̀	Noun	None		
ndʒɛttʃun	buttocks		ncwɛ̂dtùn	Noun	None		
kəkwiʔ	knee		tûkə̀kwi’	Noun	None		
zəʔə	kidney		zwə’	Noun	None		
tʃunbam	underbelly			Noun	None		
kipʙu	fingernail		nkî̂bbu	Noun	None	CEPOM lists /nkibbu/, which sounds like a plural, as singular “ongle du doigt”.  Is that a mistake on their part or an error by consultant?	
tʃunʙu	elbow		tǔnbu	Noun	None		
djakndʒa	index finger			Noun	None	Idiomatic-- apparently /djaɣə/ means “to find” or “to look at”, and /ndʒa/ means “trouble”, thus this word for index finger refers somehow to a finger that points at or finds trouble.  Consultant says she learned this word as a little girl, but is unsure whether it’s still used.	
mviʔʙu	finger webbing, skin between fingers		mfê’bu	Noun	None		
ndu	intestines		nto	Noun	None	Apparently homophonous with “needle” according to consultant	
ntsi	saliva		ntsi	Noun	None		
ləm	blood		ləm	Noun	None		
mvɔk	bones			Noun	None		
zwjak	lungs		zwiɑ̀g	Noun	None	Consultant provided this word for “lungs,” but CEPOM glosses it as “respiration, âme”.  When prompted for “âme” consultant also provided this word.  Also: said /zwjak sɑm/, so that’s its possessor	
ŋga	nerve, vein, artery		nga	Noun	None		
nzəʔtʃu	brain			Noun	None		
nə swɛnɑ	to sell			Verb	None	Consultant says: “the verb is /nə swɛnɑ̃/, but in a sentence the /s/ comes like /z/ sometimes”	
ntsi	basket			Noun	None	Minimal tone pair with “spit” /ntsi/	
bə	there			Adverb	None	Use of /bə/ implies hearer's knowledge of where "bə" is. Consultant says: "If you say 'where is my book?' and I say 'mə jɑp bə,' it means that you know where I am supposed to put it." 	
nə ɣunə	to get sick, to be sick			Verb	None		
nə ʃɔ	to pass, to surpass, to be superior			Verb	None		
nʃɔ	passes, surpasses			None	None	Seems to function as a comparative marker	
nə tʃumɑ̃	to send			Verb	None		
ŋwaʔni	letter, paper			Noun	None		
nə kɯ	to burn (unaccusative)			Intransitive Verb	None		
nə ta	to be strong, to be hard, to be difficult			Verb	None		
tʃɯso	city, school, town			Adjectivalization	None	New coining-- apparently means ‘city’, ‘town’, ‘school’, any ‘really new thing’	
nə kwɯlə	to build			Verb	None	Consultant first provided /nə kwɯt/ when prompted for “to build”, then quickly corrected herself and said this	
nə tswə	to stay, to live (in a house)			Verb	None		
ʒɯ	ate (pst1)			Verb	None		
arian	Ariane			Proper Noun	None	The name of our Medumba consultant, and so a frequent stand-in name for elicitation sentences.	
zi	sleep (recent past)		zi	Verb	None		
ntɛn	kick - recent past			Transitive Verb	None		
nzi	sleep (progressive)			Verb	None		
tʃaŋmvɯnʒɯ	dinner, evening meal			Noun	None		
fɔ	give (recent past)			None	None		
ʙu	hand, arm			Noun	None		
kəʒuʔ	deaf			None	None	Seems to be literally “not hear”.  Consultant says /kətʃup/ “mute” (lit. not speak) is a more common word to describe the deaf, since deafness and muteness often co-occur.	
bɔʔ				None	None		
kətʃup	mute (incapable of speech)		kə̀cob	None	None	Consultant says /kətʃup/  is a more common word than /kəʒuʔ/ to describe the deaf, since deafness and muteness often co-occur.	
nfɯmjak	blind		mfʉ̌miɑg	None	None	Consultant says /nfɯ/ means something like “pretend”, and that /nfɯmjak/ means something like “pretend eyes, eyes that give the illusion of having eyes.”	
nə njuʔzwi	to smile		nə̀ nyǔ’ zwì	Verb	None	Odd tones here-- usually verbs end on a high tone.  Possibly a result of this being a compound verb?  Consultant says /nə njuʔu/ is something like “to press something”, so could this have a literal meaning “to suppress laughter”?	
nə njuʔu	to press something, to push something			Verb	None		
nə kwaʔa	to cry		nə̀ kwa’a	Verb	None		
nə sam vɯt	to stretch (one's body or muscles)		nə̀ sǎm wud	Verb	None	Speaker provides first /nə samvɯlɒ/ and then corrects to /nə samvɯt/.  /vɯt/ is apparently “body” or “skin”, looks to be an object of the verb /sam/ “to massage”.  So maybe this is more like “to massage one’s body”?	
nə njit vɯt	to stretch (one's body or muscles)			Verb	None	/vɯt/ is apparently “body” or “skin”, looks to be an object of the verb /njɪt/.  Speaker refers to verb as /nə njɪlə/ “to pull, to stretch” without the /vɯt/.	
nə njilə	to stretch something, to pull something			Verb	None		
nə samɔ	to massage			Verb	None		
nə jaɣə	to yawn		nə̀ yagə	Verb	None		
nə ɣɯtni	to worry (someone), to cause worry			Verb	None		
nkɯtni	worry (noun)			Noun	None		
nə tʃuptə	to talk, to speak, to discuss			Verb	None		
nə ʃuʔu	to be loud, to make a lot of noise			Verb	None	Applications of this word include: water in the ocean, cars, groups of children	
nə kumə	to shave, to peel with a knife			Verb	None	This seems to cover the act of using a tool to remove a layer of something from a surface-- need to get more specifics.  Refers to shaving and also peeling.  This verb covers peeling a potato or carrot, but NOT peeling a banana. If one peels an orange with a knife, it’s /kumɑ̃/, but not if one peels it with hands. Consultant says “it has something to do with the way you hold the knife.”	
nə ʒubə	to peel (with hands)			Verb	None	Refers to peeling something with one’s hands, not a tool.  Examples of things that can be /ʒubə/: orange, banana	
nə liʔi	to move (something), to keep (something)			Verb	None	Received this word when asking what the verb for skinning an animal would be; however, consultant glosses it as “to move something” and also “to keep something”.	
nə bɔʔ tʃu	to braid hair		nə̀ ba’ tu	Verb	None	Looks like bɒʔ “to braid” is taking tʃu “head” as its object here.	
nə bɔʔɔ	to braid, to weave, to knit			Verb	None	This seems to cover braiding hair, braiding plant fibers, weaving, knitting.  Maybe everything wherein fibers are somehow intertwined?	
nə sɔk vɯt	to wash (oneself)		nə̀ sǒg wud	Verb	None	/vɯt/ is apparently “body” or “skin”, looks to be an object of the verb /sɔk/.  	
nə salə	to comb			Verb	None	Refers not only to combing hair, but anything that one uses a comb on, including artificial hair and weaving fibers	
satʃu	comb (noun)			Noun	None	Probably derived from /nə salə/ “to comb” and /tʃu/ “head”	
nə tʃobə	to insult		nə̀ cɑ̂b ncù	Verb	None	Apparently this is one of many words that have the general meaning of “to insult,” but consultant can’t remember any others.  She says this is homophonous (or maybe polysemous?) with a verb /tʃobə/ which means something like “to mash,” which is often used with /mba/, “the fruit which gives palm oil;” if someone says “you /tʃob/ me,” a common response is “no, mə tʃob mba” (“no, I mash the fruit which gives palm oil.”)	
tʃob nʃu	insult (noun)			Noun	None	Literally “insult mouth”?	
nə ko	to like, to love, to envy		nə̀ kɔ̌	Verb	None		
nə bonə	to hate			Verb	None		
mɛn kəʙo	devil, evil spirit, demon			Noun	None	Seems to break down into “child” and “evil, bad”	
nə ja	to have pain			Verb	None		
nə ja ntʃɯ	to be angry		nə̀ ya ntʉ	Verb	None	Lit. “to have pain in the heart”	
nə bɯ tiaŋdə	to be happy			Verb	None	This seems to be a verb /bɯ/ plus the noun for "happiness".  CEPOM lists /nə tsiaŋdə/ for "etre joyeux".	
nə bɯ	to be			Verb	None		
nə ta tʃu	to be stubborn		nə tǎ tu	Verb	None		
ŋkuʔni	honor, respect		nkù’nì	None	None		
nə tatə	to lie, to tell a lie		nə̀ tadtə	Verb	None		
tatə	lie (noun)		tadtə̀	Noun	None		
nə fɯ	to cheat, to swindle			Verb	None	Hazy semantics here-- example given for this verb was someone who’s paid by the hour and works less than the time they demand payment for.  Maybe related to /nfɯmjak/ “blind”?	
nə lo	to be lazy		nə lɔ	Verb	None		
i				None	None		
a	3prs-sg			Pronoun	None	Pronoun that can be: he/she/it	
bɯʔ	3prs-sg-pres-break			Verb	None	Tones gathered in context	
tonda	Window	5,3		Noun	None	Add Sound file	
nə fo	To give	3,5		Ditransitive Verb	None		
lɔn	rock			Noun	None		
nə ʃiaŋ	to read			Verb	None	Verb always occured with "wani (book)." 	
hʉ	Causative marker			None	None	May or may not be a particle	
nə Bʉp	to please			Verb	None	Acts as english "to please" and not the french "to please"	
nə kʉndʉ	to run			Intransitive Verb	None		
nə naŋsa	to dance	3 35 3		Intransitive Verb	None		
nə t̪amsi	to collapse (person)			Intransitive Verb	None	Only use this verb to mean "x falls to the ground"	
wani	book			Noun	None		
zəʧu	himself			Pronoun	None		
nə sa	to destroy			Verb	None		
lɔʔ	village			Noun	None		
nə fɯnə	to find			Transitive Verb	None		
ka	plate			None	None		
ħɯ				None	None		
ħɯ	caus.	1		Auxiliary Verb	None		
ko	spear	3		Noun	None		
sagə	tall			Adjective	None		
ŋgo	country			Noun	None		
bɛtə	ask-pst1			None	None		
nə bɛtə	to ask			Verb	None		
ɔm				None	None		
u	you (2p-sg-nom)			Pronoun	None		
ɔ	wh-question particle			Interrogative Operator	None	Appears in direct wh-questions and in answers to wh-questions.  	
lɛn	know-pst1			Verb	None		
ʤʉma	hot			Adjective	None	Can only be spoken in context.  Is this a verb like "to be hot?" Can't decipher actual tone	
kʰfʉ	dies (conjugated)			Verb	None		
bɔ	be (present participle)			None	None		
ji	3prs-sg-acc			Pronoun	None		
bɛn	Who			Complementizer	None		
buʔ				None	None		
ti	break glass (conjugation)			Transitive Verb	None		
nə tilə  	inf break(glass)			Transitive Verb	None	Only used when referring to glass	
fo	give (present conjugation)			Ditransitive Verb	None		
mɔ mɔ	grandmother	5 5		Noun	None		
mbɯ	that			Complementizer	None		
voʔu	fat			Adjective	None		
ndo	lazy person			Noun	None		
nə kakni	to be foolish, to be stupid			Verb	None		
nkakni	fool, stupid person			Noun	None		
nə swadə	to be smart, to be intelligent, to be happy			Verb	None	Seems to mean both "to be smart" and "to be happy"-- perhaps not exactly synonymous with /tiaŋdə/, clarify this.	
nə zəʔdə	to be stingy, to be miserly, to be greedy			Verb	None	When explaining this word’s meaning, consultant says “this is when you have something, but you don’t give it to anyone, and you can’t even eat it by yourself... like you have money, and you are hungry, but you just take one dollar and buy... and you don’t give it to someone. You don’t spend.”	
nə ji	to steal			Verb	None		
tʃo	theft, robbery			Noun	None		
ndʒo	thief, robber			Noun	None		
nənɯnə	truth			None	None	Looks oddly like a verb, but tone doesn't pattern like a verb, and consultant provided it for "truth," said it did not mean "to tell the truth"	
nə ŋuʔdə ʒu	to be sneaky, to be sly			Verb	None	CEPOM glosses this as "etre sournois".  /nə ŋuʔdə/ apparently means something like to hide an item, to keep it for oneself, to hoard something; presumably this just means “to /ŋuʔdə/ something”? Example given was someone having a visa to travel to Paris, and traveling without telling anyone... perhaps this has more to do with keeping knowledge hidden?	
nə tʃɔʔdə	to greet (someone)			Verb	None	Elicited was “to greet... like to greet someone when they come to your house.”	
nə bitni	to be nice, to be kind			Verb	None		
nə bulə	to be tired			Verb	None		
mɔ	my mother	545		None	None		
dɔ	father	5		Prenoun	None		
ngun mɔ	sister	3 5		None	None	literally "girl of mother." rarely used in isolation	
jalin	earrings	131		Noun	None		
kri	song	1		Noun	None		
bʉ	bʉ			Verb	None		
tondə	tondə	5,3		Noun	None		
atamsi	atamsi	5,3,1		Adjectivalization	None		
abɔ	abɔ	353		Relativizer	None		
bɜm	bɜm			None	None	It is used within a contruction that includes the word 'abɔ'	
vɔ	vɔ			Verb	None	Some form of the verb for a relative clause possibly	
ko	ko			Verb	None		
nə Bo	nə Bo	5 3,5		Adjectivalization	None		
aBo	It is fine	5,3,5		Verbal Adjective	None		
lɔ				None	None		
ɔ				None	None		
gə				None	None		
tʃak				None	None		
bo	two			Cardinal Numeral	None		
num				None	None		
na				None	None		
ʙi	rot			Verb	None		
mvən	chief			Noun	None	This word has some interesting tonological properties when combined with other nouns; see sentences	
nkwaʔnkwaʔ	examination			Noun	None		
nə xɯ	to have			Verb	None		
nədʒuɁvəli	to feel			Verb	None	This form is an infinitive, but for the third person	
ɒ				None	None		
